pick,johnson,stuart,hill,otc,pff,baldwin,pick_label
1,3000,34.6,1000,3000,1.135,63,Early 1
2,2600,30.2,717.17,2635,1.099,66,Early 1
3,2200,27.6,514.33,2421,1.063,67,Early 1
4,1800,25.8,490.52,2270,1.027,69,Early 1
5,1700,24.3,467.81,2152,0.991,73,Early 1
6,1600,23.2,446.15,2056,0.955,82,Early 1
7,1500,22.2,425.5,1975,0.919,89,Early 1
8,1400,21.4,405.8,1905,0.883,96,Early 1
9,1350,20.6,387.01,1843,0.847,94,Early 1
10,1300,19.9,369.09,1787,0.811,95,Early 1
11,1250,19.3,357.62,1737,0.777,97,Mid 1
12,1200,18.8,346.51,1691,0.742,100,Mid 1
13,1150,18.3,335.74,1649,0.715,99,Mid 1
14,1100,17.8,325.31,1610,0.695,100,Mid 1
15,1050,17.4,315.2,1574,0.675,99,Mid 1
16,1000,16.9,305.41,1540,0.66,99,Mid 1
17,950,16.6,295.92,1508,0.646,98,Mid 1
18,900,16.2,286.72,1478,0.633,97,Mid 1
19,875,15.8,277.81,1449,0.619,96,Mid 1
20,850,15.5,269.18,1422,0.606,95,Mid 1
21,800,15.2,260.82,1397,0.594,93,Mid 1
22,780,14.9,252.71,1372,0.584,92,Mid 1
23,760,14.6,244.86,1349,0.573,90,Late 1
24,740,14.4,237.25,1326,0.565,89,Late 1
25,720,14.1,229.88,1305,0.557,88,Late 1
26,700,13.9,222.74,1284,0.549,87,Late 1
27,680,13.6,215.81,1264,0.541,85,Late 1
28,660,13.4,209.11,1245,0.533,84,Late 1
29,640,13.2,202.61,1227,0.525,84,Late 1
30,620,12.9,196.31,1209,0.518,83,Late 1
31,600,12.7,190.21,1192,0.51,82,Late 1
32,590,12.5,184.3,1175,0.502,81,Late 1
33,580,12.3,179.54,1159,0.495,86,Early 2
34,560,12.1,174.89,1143,0.487,85,Early 2
35,550,12,170.37,1128,0.48,83,Early 2
36,540,11.8,165.97,1113,0.473,82,Early 2
37,530,11.6,161.67,1098,0.465,81,Early 2
38,520,11.4,157.49,1084,0.458,80,Early 2
39,510,11.3,153.42,1071,0.451,79,Early 2
40,500,11.1,149.45,1057,0.443,77,Early 2
41,490,11,145.59,1044,0.436,76,Early 2
42,480,10.8,141.82,1032,0.429,75,Early 2
43,470,10.6,138.15,1019,0.422,74,Mid 2
44,460,10.5,134.58,1007,0.415,73,Mid 2
45,450,10.4,131.1,995,0.409,72,Mid 2
46,440,10.2,127.71,984,0.402,71,Mid 2
47,430,10.1,124.41,973,0.396,71,Mid 2
48,420,9.9,121.19,961,0.39,70,Mid 2
49,410,9.8,118.06,951,0.384,69,Mid 2
50,400,9.7,115,940,0.378,68,Mid 2
51,390,9.6,112.03,929,0.373,67,Mid 2
52,380,9.4,109.13,919,0.368,66,Mid 2
53,370,9.3,106.31,909,0.363,65,Mid 2
54,360,9.2,103.56,899,0.357,65,Late 2
55,350,9.1,100.88,890,0.352,64,Late 2
56,340,9,98.27,880,0.347,63,Late 2
57,330,8.9,95.73,871,0.342,62,Late 2
58,320,8.7,93.26,862,0.337,61,Late 2
59,310,8.6,90.84,853,0.332,60,Late 2
60,300,8.5,88.49,844,0.327,59,Late 2
61,292,8.4,86.21,835,0.322,58,Late 2
62,284,8.3,83.98,827,0.316,57,Late 2
63,276,8.2,81.81,818,0.311,56,Late 2
64,270,8.1,76.69,810,0.306,55,Late 2
65,265,8,77.95,802,0.301,55,Early 3
66,260,7.9,76.25,794,0.296,54,Early 3
67,255,7.8,74.59,786,0.292,53,Early 3
68,250,7.7,72.97,778,0.287,52,Early 3
69,245,7.6,71.38,770,0.283,51,Early 3
70,240,7.5,69.82,763,0.279,50,Early 3
71,235,7.5,68.3,755,0.275,49,Early 3
72,230,7.4,66.81,748,0.271,48,Early 3
73,225,7.3,65.36,741,0.267,48,Early 3
74,220,7.2,63.93,733,0.264,47,Early 3
75,215,7.1,62.54,726,0.26,46,Early 3
76,210,7,61.18,719,0.257,46,Early 3
77,205,6.9,59.85,713,0.254,45,Early 3
78,200,6.9,58.54,706,0.251,44,Mid 3
79,195,6.8,57.27,699,0.248,44,Mid 3
80,190,6.7,56.02,692,0.246,43,Mid 3
81,185,6.6,54.8,686,0.243,42,Mid 3
82,180,6.5,53.6,679,0.24,42,Mid 3
83,175,6.5,52.44,673,0.237,41,Mid 3
84,170,6.4,51.29,667,0.234,41,Mid 3
85,165,6.3,50.18,660,0.231,40,Mid 3
86,160,6.2,49.08,654,0.229,39,Mid 3
87,155,6.2,48.01,648,0.226,39,Mid 3
88,150,6.1,46.97,642,0.223,38,Mid 3
89,145,6,45.94,636,0.221,38,Mid 3
90,140,5.9,44.94,630,0.219,37,Mid 3
91,136,5.9,43.96,625,0.217,37,Mid 3
92,132,5.8,43.01,619,0.214,36,Late 3
93,128,5.7,42.07,613,0.212,35,Late 3
94,124,5.7,41.15,607,0.21,35,Late 3
95,120,5.6,40.26,602,0.207,34,Late 3
96,116,5.5,39.38,596,0.205,34,Late 3
97,112,5.5,38.52,591,0.203,33,Late 3
98,108,5.4,37.68,586,0.201,33,Late 3
99,104,5.3,36.86,580,0.199,32,Late 3
100,100,5.3,36.06,575,0.196,32,Late 3
101,96,5.2,35.26,570,0.194,31,Late 3
102,92,5.1,34.49,564,0.192,31,Late 3
103,88,5.1,33.73,559,0.19,30,Late 3
104,86,5,32.98,554,0.187,30,Late 3
105,84,5,32.26,549,0.185,30,Late 3
106,82,4.9,31.55,544,0.183,30,Early 4
107,80,4.8,30.85,539,0.181,30,Early 4
108,78,4.8,30.17,534,0.179,29,Early 4
109,76,4.7,29.51,530,0.177,29,Early 4
110,74,4.7,28.86,525,0.174,28,Early 4
111,72,4.6,28.22,520,0.172,28,Early 4
112,70,4.6,27.6,515,0.17,27,Early 4
113,68,4.5,27,511,0.168,27,Early 4
114,66,4.4,26.4,506,0.166,27,Early 4
115,64,4.4,25.82,501,0.163,26,Mid 4
116,62,4.3,25.25,497,0.161,26,Mid 4
117,60,4.3,24.7,492,0.16,26,Mid 4
118,58,4.2,24.15,488,0.158,25,Mid 4
119,56,4.2,23.62,483,0.157,25,Mid 4
120,54,4.1,23.41,479,0.155,25,Mid 4
121,52,4.1,22.59,475,0.154,24,Mid 4
122,50,4,22.09,470,0.153,24,Mid 4
123,49,4,21.61,466,0.151,24,Mid 4
124,48,3.9,21.13,462,0.15,23,Mid 4
125,47,3.9,20.67,457,0.149,23,Mid 4
126,46,3.8,20.21,453,0.148,23,Mid 4
127,45,3.8,19.77,449,0.146,22,Mid 4
128,44,3.7,19.33,445,0.145,22,Mid 4
129,43,3.7,18.91,441,0.144,21,Mid 4
130,42,3.6,18.49,437,0.143,21,Late 4
131,41,3.6,18.08,433,0.142,21,Late 4
132,40,3.5,17.68,429,0.141,21,Late 4
133,40,3.5,17.29,425,0.139,20,Late 4
134,39,3.4,16.91,421,0.138,20,Late 4
135,39,3.4,16.54,417,0.137,20,Late 4
136,38,3.3,16.18,413,0.136,20,Late 4
137,38,3.3,15.82,409,0.135,20,Late 4
138,37,3.2,15.47,405,0.134,20,Late 4
139,37,3.2,15.13,401,0.133,20,Late 4
140,36,3.1,14.8,398,0.132,20,Late 4
141,36,3.1,14.47,394,0.13,19,Late 4
142,35,3,14.15,390,0.129,19,Late 4
143,35,3,13.84,387,0.128,19,Late 4
144,34,3,13.54,383,0.127,19,Early 5
145,34,2.9,13.24,379,0.126,19,Early 5
146,33,2.9,12.95,376,0.125,18,Early 5
147,33,2.8,12.66,372,0.124,18,Early 5
148,32,2.8,12.38,368,0.122,18,Early 5
149,32,2.7,12.11,365,0.121,18,Early 5
150,31,2.7,11.85,361,0.12,18,Early 5
151,31,2.7,11.58,358,0.119,18,Mid 5
152,31,2.6,11.33,354,0.118,17,Mid 5
153,30,2.6,11.08,351,0.117,17,Mid 5
154,30,2.5,10.84,348,0.116,17,Mid 5
155,29,2.5,10.6,344,0.114,17,Mid 5
156,29,2.4,10.36,341,0.113,17,Mid 5
157,29,2.4,10.14,337,0.112,16,Mid 5
158,28,2.4,9.91,334,0.111,16,Mid 5
159,28,2.3,9.69,331,0.11,16,Mid 5
160,27,2.3,9.48,327,0.109,16,Mid 5
161,27,2.2,9.27,324,0.108,16,Mid 5
162,27,2.2,9.07,321,0.107,15,Mid 5
163,26,2.2,8.87,318,0.106,15,Mid 5
164,26,2.1,8.67,314,0.104,15,Mid 5
165,25,2.1,8.48,311,0.103,15,Mid 5
166,25,2,8.3,308,0.102,14,Mid 5
167,25,2,8.11,305,0.101,14,Late 5
168,24,2,7.93,302,0.1,14,Late 5
169,24,1.9,7.76,299,0.099,14,Late 5
170,23,1.9,7.59,295,0.098,13,Late 5
171,23,1.9,7.42,292,0.097,13,Late 5
172,23,1.8,7.26,289,0.096,13,Late 5
173,22,1.8,7.1,286,0.095,13,Late 5
174,22,1.7,6.94,283,0.094,13,Late 5
175,21,1.7,6.79,280,0.092,12,Late 5
176,21,1.7,6.64,277,0.091,12,Late 5
177,21,1.6,6.49,274,0.09,12,Late 5
178,20,1.6,6.35,271,0.089,12,Late 5
179,20,1.6,6.21,268,0.088,11,Late 5
180,19,1.5,6.07,265,0.087,11,Late 5
181,19,1.5,5.94,262,0.086,11,Late 5
182,19,1.5,5.81,260,0.085,11,Early 6
183,18,1.4,5.68,257,0.084,11,Early 6
184,18,1.4,5.56,254,0.083,10,Early 6
185,17,1.4,5.43,251,0.082,10,Early 6
186,17,1.3,5.31,248,0.081,10,Early 6
187,17,1.3,5.2,245,0.08,10,Early 6
188,16,1.3,5.08,242,0.079,10,Early 6
189,16,1.2,4.97,240,0.078,9,Early 6
190,15,1.2,4.86,237,0.077,9,Early 6
191,15,1.2,4.75,234,0.077,9,Early 6
192,15,1.1,4.65,231,0.076,9,Mid 6
193,14,1.1,4.55,229,0.075,9,Mid 6
194,14,1.1,4.45,226,0.074,8,Mid 6
195,13,1,4.35,223,0.073,8,Mid 6
196,13,1,4.25,221,0.072,8,Mid 6
197,13,1,4.16,218,0.071,8,Mid 6
198,12,0.9,4.07,215,0.07,8,Mid 6
199,12,0.9,3.98,213,0.069,8,Mid 6
200,11,0.9,3.89,210,0.068,7,Mid 6
201,11,0.8,3.81,207,0.068,7,Mid 6
202,11,0.8,3.72,205,0.067,7,Mid 6
203,10,0.8,3.64,202,0.066,7,Mid 6
204,10,0.7,3.56,199,0.065,7,Mid 6
205,9,0.7,3.48,197,0.065,7,Mid 6
206,9,0.7,3.4,194,0.064,6,Mid 6
207,9,0.6,3.33,192,0.063,6,Late 6
208,8,0.6,3.26,189,0.063,6,Late 6
209,8,0.6,3.18,187,0.062,6,Late 6
210,7,0.6,3.11,184,0.061,6,Late 6
211,7,0.5,3.05,182,0.061,6,Late 6
212,7,0.5,2.98,179,0.06,6,Late 6
213,6,0.5,2.91,177,0.06,5,Late 6
214,6,0.4,2.85,174,0.06,5,Late 6
215,5,0.4,2.79,172,0.059,5,Late 6
216,5,0.4,2.73,169,0.059,5,Late 6
217,5,0.3,2.67,167,0.058,5,Late 6
218,4,0.3,2.61,165,0.058,5,Late 6
219,4,0.3,2.55,162,0.058,5,Late 6
220,3,0.3,2.49,160,0.057,4,Late 6
221,3,0.2,2.44,157,0.057,4,Late 6
222,3,0.2,2.38,155,0.056,4,Early 7
223,2,0.2,2.33,153,0.056,4,Early 7
224,2,0.1,2.28,150,0.056,4,Early 7
225,0,0,2.23,148,0.055,4,Early 7
226,0,0,2.18,146,0.055,4,Early 7
227,0,0,2.13,143,0.054,4,Early 7
228,0,0,2.09,141,0.054,3,Early 7
229,0,0,2.04,139,0.054,3,Early 7
230,0,0,2,136,0.053,3,Early 7
231,0,0,1.95,134,0.053,3,Early 7
232,0,0,1.91,132,0.052,3,Mid 7
233,0,0,1.87,129,0.052,3,Mid 7
234,0,0,1.83,127,0.052,3,Mid 7
235,0,0,1.79,125,0.051,3,Mid 7
236,0,0,1.75,123,0.051,2,Mid 7
237,0,0,1.71,121,0.051,2,Mid 7
238,0,0,1.67,118,0.05,2,Mid 7
239,0,0,1.63,116,0.05,2,Mid 7
240,0,0,1.6,114,0.05,2,Mid 7
241,0,0,1.56,112,0.05,2,Mid 7
242,0,0,1.53,110,0.05,2,Mid 7
243,0,0,1.49,107,0.049,2,Mid 7
244,0,0,1.46,105,0.049,2,Mid 7
245,0,0,1.43,103,0.049,2,Mid 7
246,0,0,1.4,101,0.049,2,Mid 7
247,0,0,1.37,99,0.049,2,Mid 7
248,0,0,1.34,97,0.049,1,Late 7
249,0,0,1.31,94,0.048,1,Late 7
250,0,0,1.28,92,0.048,1,Late 7
251,0,0,1.25,90,0.048,1,Late 7
252,0,0,1.22,88,0.048,1,Late 7
253,0,0,1.2,86,0.048,1,Late 7
254,0,0,1.17,84,0.048,1,Late 7
255,0,0,1.14,82,0.047,1,Late 7
256,0,0,1.12,80,0.047,1,Late 7
257,0,0,1.1,78,0.047,0,Late 7
258,0,0,1.08,76,0.047,0,Late 7
259,0,0,1.06,74,0.047,0,Late 7
260,0,0,1.04,72,0.046,0,Late 7
261,0,0,1.02,70,0.046,0,Late 7
262,0,0,1,68,0.046,0,Late 7
